"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://bluegrassdoodle.com/about.html","text/html","200","OK","Indexable","","About the Breed | Doodles Puppies in London, KY","47","434","Our Doodle Breeds come from a high standard.","44","290","Cockapoo in London, KY, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, f1, f1b, f1bb, groodles, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky, Kentucky Doodles, Goldendoodles, Labradoodles, doodles","305","Bluegrass Doodles","17","","0","Bluegrass Doodles offers 2 types of Cockapoos: F1 (AKC Cocker Spaniel) + (AKC Mini Poodle) F1BB (F1b Cockapoo) + (AKC Mini Poodle)","130","Bluegrass Doodles offers 1 type of BerneDoodles: F1 Mini (AKC Bernedoodle) + (AKC Mini Poodle)","94","","","","","","","","","","10993","3112","3112","1.103","","188","56","3.357","88.228","Easy","12.216","1","0","","16","12","0","48.000","16","11","0","4","4","0","","","","","e699103517a4e24fc0c3588f0607c099","0.264","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/about.html","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/assets/css/main.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","9271","9271","9271","3.287","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.295","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/css/main.css","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/bernedoodle.html","text/html","200","OK","Indexable","","Bluegrass Doodle | Mini-Bernedoodle Puppies for sale in London, Kentucky","72","658","Find Bernedoodle puppies for sale. Located in London, Kentucky.  Buy perfect Pups from reputable Breeder’s.","107","669","Bernedoodles in London, KY, Bernedoodle Puppies, Bernedoodle Dogs and Puppies for sale, Bernedoodle Pups, Bernedoodle, Bernedoodle Puppies For Sale, Bernese Mountain Dog, Bernese, Doodles kentucky, Poodle, AKC, Bernese Dogs London Kentucky, Bluegrass, Kentucky Doodles, Berenedoodle puppies near me, Somerset, Lake Cumberland, Bernedoodles in Somerset, Somerset KY","364","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","12362","3154","3154","1.118","","58","33","1.758","82.527","Easy","4.617","1","0","","22","12","0","48.000","22","11","0","4","4","0","","","","","148d17445f7f66301d4b8f390d762be7","0.271","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/bernedoodle.html","2024-10-13 00:54:48"
"https://bluegrassdoodle.com/cockapoof1.html","text/html","200","OK","Indexable","","Bluegrass Doodle | Mini-Cockapoo Puppies for sale in London, Kentucky","69","634","Find Cockapoo puppies for sale. Located in London, Kentucky.  Buy perfect Pups from reputable Breeder’s.","104","654","Cockapoo in London, KY, Cockapoo Puppies, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky Doodles, Cockapoo puppies near me","276","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","11862","3130","3130","1.110","","54","30","1.800","79.675","Fairly Easy","4.699","1","0","","18","12","0","48.000","18","11","0","4","4","0","","","","","1164acd1570573ccd2d2b35f3cda6ef3","0.279","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/cockapoof1.html","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/currentpups.html","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","1","0","","2","2","0","8.000","0","0","0","0","0","0","","","","","","0.270","","","","","","1.1","","https://bluegrassdoodle.com/currentpups.html","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/buyingprocess.html","text/html","200","OK","Indexable","","Buying Process for Bluegrass Doodles","36","336","We have Top-quality multi-gen Cockapoos, Poodles, Bluegrass, Kentucky & Doodles puppies for sale in London (KY), Lexington (KY), Louisville (KY), and Knoxville (TN)","164","1018","Buy doodle, golden doodle mini, golden doodle puppy, mini goldendoodle, aussie doodle, how much goldendoodle, golden doodle cost, deposit, venmo, stripe","152","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","8247","2936","2936","1.041","","202","45","4.489","88.362","Easy","16.284","1","0","","16","12","0","48.000","17","11","0","5","5","0","","","","","d40e06a4a88ccf81d66d745cc97b1c56","0.269","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/buyingprocess.html","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/assets/js/breakpoints.min.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","826","826","826","0.293","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.272","Wed, 31 Jul 2024 23:00:40 GMT","","","","","1.1","","https://bluegrassdoodle.com/assets/js/breakpoints.min.js","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/chewy.html","text/html","200","OK","Indexable","","Bluegrass Doodle | Puppy Items","30","281","Find the perfect items for your new puppy.","42","261","Cockapoo in London, KY, Cockapoo Dogs and Puppies for sale, Cockapoo Pups, f1, f1b, f1bb, groodles, Cockapoo, Cockapoo Puppies For Sale, Cockerspaniel, Cocker Spaniel, Doodles kentucky, Poodle, AKC, Cockapoo Dogs London Kentucky, Bluegrass, Kentucky, Kentucky Doodles, Goldendoodles, Labradoodles, doodles, cockapoo puppies, goldendoodles red, hypoallergenic,","359","Bluegrass Doodles","17","Product List","12","","0","","0","","","","","","","","","","15348","4015","4015","1.423","","147","57","2.579","93.719","Very Easy","6.749","1","0","","16","12","0","48.000","16","11","0","10","10","0","","","","","edb0e3419a9b095f5b4f2d54ac8dc42f","0.267","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/chewy.html","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/cockapoolitters.html","text/html","200","OK","Indexable","","Bluegrass Doodles | Buy Cockapoo Puppies","40","382","The cutest multi-generation Cockapoo puppies this side of the Mississippi.","74","456","Buy AKC Poodle Puppies, Mini Poodle Puppies","43","Bluegrass Doodles","17","","0","","0","","0","","","","","","","","","","14270","3296","3296","1.168","","47","27","1.741","62.868","Normal","3.656","1","0","","17","12","0","48.000","17","11","0","4","4","0","","","","","59b1fd7033b8e8ce96ea56e6565d0ede","0.264","Sun, 13 Oct 2024 04:49:23 GMT","","","","","1.1","","https://bluegrassdoodle.com/cockapoolitters.html","2024-10-13 00:54:49"
"https://bluegrassdoodle.com/path/to/font-awesome/css/font-awesome.min.css","text/html; charset=iso-8859-1","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","315","315","315","0.112","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.280","","","","","","1.1","","https://bluegrassdoodle.com/path/to/font-awesome/css/font-awesome.min.css","2024-10-13 00:54:49"
